_about,average_price,house_price_index,percentage_annual_change,percentage_change,ref_month,ref_period_duration,ref_period_start,ref_region,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_sa,average_price_semi_detached,average_price_terraced,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_sa,house_price_index_semi_detached,house_price_index_terraced,sales_volume,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,sales_volume_existing_property,sales_volume_new_build,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced
http://landregistry.data.gov.uk/data/ukhpi/region/united-kingdom/month/1990-01,53658,20.6,2.9,-2.2,1990-01,3,1990-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/united-kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/united-kingdom/month/1990-02,53658,20.6,2.9,-2.2,1990-02,3,1990-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/united-kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/united-kingdom/month/1990-03,53658,20.6,2.9,-2.2,1990-03,3,1990-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/united-kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/united-kingdom/month/1990-04,53176,20.4,-1.6,-0.9,1990-04,3,1990-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/united-kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/united-kingdom/month/1990-05,53176,20.4,-1.6,-0.9,1990-05,3,1990-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/united-kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/united-kingdom/month/1990-06,53176,20.4,-1.6,-0.9,1990-06,3,1990-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/united-kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/united-kingdom/month/1990-07,54141,20.7,-3.2,1.8,1990-07,3,1990-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/united-kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/united-kingdom/month/1990-08,54141,20.7,-3.2,1.8,1990-08,3,1990-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/united-kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/united-kingdom/month/1990-09,54141,20.7,-3.2,1.8,1990-09,3,1990-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/united-kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/united-kingdom/month/1990-10,53337,20.4,-2.7,-1.5,1990-10,3,1990-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/united-kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
